,unit_code,type_cd_txt,category_cd,school_type_txt,calendar_only_txt,title1_type_flg,clp_ind_flg,focus_clp_flg,summer_program_flg,asm_no_spg_flg,no_data_spg_flg,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem_flg,Avg_Class_Size_00,Avg_Class_Size_01,Avg_Class_Size_02,Avg_Class_Size_03,Avg_Class_Size_04,Avg_Class_Size_05,Avg_Class_Size_06,Avg_Class_Size_07,Avg_Class_Size_08,Avg_Class_Size_Biology,Avg_Class_Size_EnglishII,Avg_Class_Size_MathI,Avg_Dist_Size_00,Avg_Dist_Size_01,Avg_Dist_Size_02,Avg_Dist_Size_03,Avg_Dist_Size_04,Avg_Dist_Size_05,Avg_Dist_Size_06,Avg_Dist_Size_07,Avg_Dist_Size_08,Avg_Dist_Size_Biology,Avg_Dist_Size_EnglishII,Avg_Dist_Size_MathI,Avg_State_Size_00,Avg_State_Size_01,Avg_State_Size_02,Avg_State_Size_03,Avg_State_Size_04,Avg_State_Size_05,Avg_State_Size_06,Avg_State_Size_07,Avg_State_Size_08,Avg_State_Size_Biology,Avg_State_Size_EnglishII,Avg_State_Size_MathI,total_expense_num,salary_expense_pct,benefits_expense_pct,services_expense_pct,supplies_expense_pct,instruct_equip_exp_pct,other_expense_pct,federal_perpupil_num,local_perpupil_num,state_perpupil_num,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_other_expense_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,st_total_expense_num,st_salary_expense_pct,st_benefits_expense_pct,st_services_expense_pct,st_supplies_expense_pct,st_instruct_equip_exp_pct,st_other_expense_pct,st_federal_perpupil_num,st_local_perpupil_num,st_state_perpupil_num,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared,GCE_ALL_School_Pct,GCE_LEP_School_Pct,GCE_PRM_School_Pct,GCE_RPF_School_Pct,GCE_SWD_School_Pct,PASSED_EOG_School_Pct,PASSED_LAA_School_Pct,PASSED_RTA_School_Pct,PROMOTED_School_Pct,RETAINED_School_Pct,GCE_ALL_Dist_Pct,GCE_LEP_Dist_Pct,GCE_PRM_Dist_Pct,GCE_RPF_Dist_Pct,GCE_SWD_Dist_Pct,PASSED_EOG_Dist_Pct,PASSED_LAA_Dist_Pct,PASSED_RTA_Dist_Pct,PROMOTED_Dist_Pct,RETAINED_Dist_Pct,GCE_ALL_State_Pct,GCE_LEP_State_Pct,GCE_PRM_State_Pct,GCE_RPF_State_Pct,GCE_SWD_State_Pct,PASSED_EOG_State_Pct,PASSED_LAA_State_Pct,PASSED_RTA_State_Pct,PROMOTED_State_Pct,RETAINED_State_Pct,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above,AP_Courses_Offered,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses,sch_percent_college_enrolled_16_mos_post_grad,One_Yr_College_Complete_wi_2_yrs_Enrolled_2012,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,ttl_crimes_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,avg_age_media_collection,1_to_1_access,books_per_student,lea_avg_age_media_collection,lea_books_per_student,st_avg_age_media_collection,st_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,st_wap_num,st_wap_per_classroom,prin_other_pct,prinyrs_0thru3_pct,prinyrs_4thru10_pct,prinyrs_11plus_pct,prin_advance_dgr_pct,_1yr_prin_trnovr_pct,prin_male_pct,prin_female_pct,prin_black_pct,prin_white_pct,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,st_highqual_class_hp_pct,st_highqual_class_lp_pct,st_highqual_class_all_pct,st_not_highqual_class_hp_pct,st_not_highqual_class_lp_pct,st_not_highqual_class_all_pct,st_prinyrs_0thru3_pct,st_prinyrs_4thru10_pct,st_prinyrs_11plus_pct,st_prin_advance_dgr_pct,st_1yr_prin_trnovr_pct,st_prin_male_pct,st_prin_female_pct,st_prin_black_pct,st_prin_white_pct,st_prin_other_pct,Tch_Exp_Pct_0_3_Years,Tch_Exp_Pct_4_10_Years,Tch_Exp_Pct_10+_Years,Dist_Tch_Exp_Pct_0_3_Years,Dist_Tch_Exp_Pct_4_10_Years,Dist_Tch_Exp_Pct_10+_Years,State_Tch_Exp_Pct_0_3_Years,State_Tch_Exp_Pct_4_10_Years,State_Tch_Exp_Pct_10+_Years,Dist_Prin_Exp_Pct_0_3_Years,Dist_Prin_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,State_Prin_Exp_Pct_0_3_Years,State_Prin_Exp_Pct_4_10_Years,State_Prin_Exp_Pct_10+_Years,School Code,Subject,Percent Level 1,Percent Level 2,Percent Level 3,Percent Level 4,Percent Level 5,Percent CCR,Percent GLP
2,10303,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,108.0,985.0,860,False,False,,,,,,,,,,13.0,13.0,19.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.0,961.0,997,1006,0.43,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,45.0,45.0,0.991,0.0,0.0,0.0,0.0,,0.69,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,,,,,,,,,,,,1380.0,0.92,111757,1.12,,,,,,,,,,,1.0,0.0,0.28600000000000003,0.7140000000000001,7.0,1.0,0.14300000000000002,0.0,,,0.9640000000000001,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.0,0.28600000000000003,0.7140000000000001,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
9,10324,Public,H,Regular School,Traditional Calendar,False,False,True,False,False,False,Non_Esea,1217.0,985.0,860,False,False,,,,,,,,,,22.0,22.0,21.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.0,961.0,997,1006,0.58,0.51,0.49,0.52,,,0.14,0.15,0.15,0.5,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,57.95918367,57.95918367,0.9359999999999999,0.66,12.49,0.0,0.0,,1.36,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.0,No,1996.0,No,6.64,1999.0,14.24,2000.0,19.18,64.0,1.05,1380.0,0.92,111757,1.12,,,,,,,,,,,0.9420000000000001,0.18600000000000003,0.371,0.44299999999999995,70.0,12.0,0.14300000000000002,0.128,,0.057999999999999996,0.86,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.18600000000000003,0.371,0.44299999999999995,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
15,10348,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,797.0,985.0,860,False,False,,,,,,,,,,21.0,18.0,23.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0,961.0,997,1006,0.54,0.51,0.49,0.52,,,0.17,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,43.37349398,43.37349398,0.9259999999999999,1.63,12.05,1.0,0.0,,0.91,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.0,No,1999.0,No,9.97,1999.0,14.24,2000.0,19.18,66.0,1.25,1380.0,0.92,111757,1.12,,,,,,,,,,,0.813,0.46299999999999997,0.09300000000000001,0.444,54.0,1.0,0.13,0.2,,0.187,0.893,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.46299999999999997,0.09300000000000001,0.444,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
22,10360,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,899.0,985.0,860,False,False,,,,,,,,,,16.0,17.0,17.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.0,961.0,997,1006,0.34,0.51,0.49,0.52,,,0.09,0.15,0.15,0.21,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,38.7755102,38.7755102,0.909,1.22,22.25,0.0,0.0,,1.01,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.01,No,1995.0,No,11.98,1999.0,14.24,2000.0,19.18,70.0,1.27,1380.0,0.92,111757,1.12,,,,,,,,,,,0.833,0.318,0.242,0.439,66.0,4.0,0.19399999999999998,0.14,,0.152,0.8590000000000001,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.318,0.242,0.439,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
30,10388,Public,H,Regular School,Traditional Calendar,False,True,False,False,False,False,Non_Esea,1508.0,985.0,860,False,False,,,,,,,,,,22.0,23.0,25.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,961.0,997,1006,0.47,0.51,0.49,0.52,,,0.13,0.15,0.15,0.34,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,52.13414634,52.13414634,0.93,1.06,10.08,0.33,0.0,,1.36,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.0,No,1991.0,No,5.73,1999.0,14.24,2000.0,19.18,74.0,0.99,1380.0,0.92,111757,1.12,,,,,,,,,,,0.9179999999999999,0.235,0.235,0.529,85.0,8.0,0.2,0.098,,0.08199999999999999,0.882,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.235,0.235,0.529,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
34,10396,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,1158.0,985.0,860,False,False,,,,,,,,,,21.0,20.0,20.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,961.0,997,1006,0.61,0.51,0.49,0.52,,,0.2,0.15,0.15,0.36,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,54.65116279,54.65116279,0.9209999999999999,0.69,12.87,0.0,0.0,,1.71,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.01,No,1998.0,No,12.48,1999.0,14.24,2000.0,19.18,83.0,1.2,1380.0,0.92,111757,1.12,,,,,,,,,,,0.953,0.16899999999999998,0.292,0.5379999999999999,65.0,8.0,0.47700000000000004,0.14800000000000002,,0.031,0.9109999999999999,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.16899999999999998,0.292,0.5379999999999999,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
35,10400,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,1211.0,985.0,860,False,False,,,,,,,,,,22.0,23.0,17.0,,,,,,,,,,18.0,18.0,21.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,0.0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.0,961.0,997,1006,0.55,0.51,0.49,0.52,,,0.19,0.15,0.15,0.49,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,60.49822064,60.49822064,0.934,0.83,8.59,0.25,0.0,,1.29,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.01,No,1992.0,No,7.13,1999.0,14.24,2000.0,19.18,70.0,1.19,1380.0,0.92,111757,1.12,,,,,,,,,,,0.9440000000000001,0.19399999999999998,0.20800000000000002,0.597,72.0,4.0,0.16699999999999998,0.084,,0.055999999999999994,0.9109999999999999,0.903,0.242,0.24,0.518,54.0,5.0,0.21100000000000002,0.13,,0.09300000000000001,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.19399999999999998,0.20800000000000002,0.597,0.242,0.24,0.518,0.231,0.235,0.534,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
38,20302,Public,H,Regular School,Traditional Calendar,False,False,False,True,False,False,Non_Esea,1478.0,1478.0,860,True,False,,,,,,,,,,18.0,17.0,14.0,,,,,,,,,,18.0,17.0,19.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,8505.53,0.632,0.22,0.055,0.079,0.013999999999999999,0.0,923.51,1518.55,6063.47,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,1002.0,997,1006,0.34,0.34,0.49,0.52,,,0.09,0.09,0.15,0.47,0.47,0.51,,,,,,0.75,,,,,,,,,,,,,,49.11392405,49.11392405,0.958,1.56,7.92,0.0,0.0,,0.7,0.9620000000000001,1.56,7.92,0.0,0.0,1.08,0.951,1.27,14.02,0.07,0,1.2,0.0,No,1998.0,Yes,7.18,1997.0,19.64,2000.0,19.18,117.0,1.34,463.0,1.2,111757,1.12,,,,,,,,,,,0.9590000000000001,0.184,0.276,0.541,98.0,21.0,0.276,0.16399999999999998,,0.031,0.955,0.9590000000000001,0.184,0.276,0.541,98.0,21.0,0.276,0.163,,0.031,0.955,1.0,1.0,0.983,0.0,0.0,0.017,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.184,0.276,0.541,0.184,0.276,0.541,0.231,0.235,0.534,0.5,0.3,0.2,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
48,30304,Public,H,Regular School,Traditional Calendar,False,False,False,False,False,False,Non_Esea,450.0,450.0,860,True,False,,,,,,,,,,16.0,16.0,17.0,,,,,,,,,,16.0,16.0,17.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,11936.48,0.611,0.2,0.087,0.092,0.01,0.0,1487.57,2467.21,7981.7,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.0,964.0,997,1006,0.29,0.29,0.49,0.52,,,,,0.15,0.56,0.56,0.51,,,,,,0.75,,,,,,,,,,,,,,51.37614679,51.37614679,0.9329999999999999,0.44,6.44,0.0,0.0,,0.64,0.9470000000000001,0.44,6.44,0.0,0.0,0.79,0.951,1.27,14.02,0.07,0,1.2,0.03,Yes,2000.0,No,22.59,1999.0,42.08,2000.0,19.18,43.0,1.08,111.0,0.93,111757,1.12,,,,,,,,,,,0.89,0.18899999999999997,0.162,0.649,37.0,7.0,0.37799999999999995,0.087,0.027000000000000003,0.08199999999999999,0.836,0.89,0.18899999999999997,0.162,0.649,37.0,7.0,0.37799999999999995,0.086,0.027000000000000003,0.08199999999999999,0.836,0.805,,0.86,0.195,,0.14,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.18899999999999997,0.162,0.649,0.18899999999999997,0.162,0.649,0.231,0.235,0.534,0.75,0.25,0.0,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
52,40304,Public,H,Regular School,Traditional Calendar,False,False,False,True,False,False,Non_Esea,210.0,261.0,860,True,False,,,,,,,,,,19.0,21.0,18.0,,,,,,,,,,17.0,18.0,16.0,,,,,,,,,,18.0,18.0,20.0,,,,,,,,,,,10476.36,0.574,0.18899999999999997,0.095,0.114,0.027999999999999997,0.0,1519.41,1497.22,7459.73,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,815.0,997,1006,0.54,0.54,0.49,0.52,,,,,0.15,,0.06,0.51,,,,,,0.75,,,,,,,,,,,,,,54.16666667,54.16666667,0.9670000000000001,0.48,1.9,0.48,0.0,,,0.9420000000000001,1.05,121.84,1.15,0.0,0.8,0.951,1.27,14.02,0.07,0,1.2,,,,,,,,,,14.0,1.17,390.0,1.45,111757,1.12,,,,,,,,,,,0.81,0.273,0.273,0.455,11.0,2.0,0.091,0.095,,0.19,0.909,0.7709999999999999,0.33299999999999996,0.154,0.513,20.0,2.0,0.179,0.2,,0.217,0.972,1.0,0.909,0.991,0.0,0.091,0.009000000000000001,0.897,0.231,0.235,0.534,54,8,0.248,0.14800000000000002,0.003,0.092,0.9640000000000001,0.9640000000000001,0.976,0.963,0.036000000000000004,0.024,0.037000000000000005,0.43,0.42700000000000005,0.14300000000000002,0.222,0.08900000000000001,0.39799999999999996,0.596,0.237,0.737,0.026000000000000002,0.273,0.273,0.455,0.33299999999999996,0.154,0.513,0.231,0.235,0.534,0.545,0.182,0.273,0.43,0.42700000000000005,0.14300000000000002,,,,,,,,,
